height_cm,positions,skill_moves(1-5),crossing,finishing,short_passing,dribbling,freekick_accuracy,long_passing,ball_control,acceleration,agility,shot_power,stamina,long_shots,interceptions,vision,marking,standing_tackle
170.18,"CF,RW,ST",4,86,95,92,97,94,89,96,91,93,85,72,94,22,94,33,28
154.94,"CAM,RM,CM",4,88,81,91,84,87,89,91,76,80,84,92,89,56,91,59,57
190.5,"CM,CAM",5,80,75,86,87,82,90,90,71,76,90,88,82,64,88,63,67
162.56,"LW,ST",4,86,77,85,90,77,78,93,94,94,75,75,84,26,87,51,24
187.96,CB,2,30,22,68,69,28,60,63,70,50,55,75,15,88,49,91,88
193.04,CB,2,53,52,79,70,70,81,76,74,61,81,75,64,88,60,90,89
152.4,"RW,ST,RM",5,77,88,82,90,63,73,91,96,92,79,83,78,38,82,34,34
172.72,ST,4,70,93,81,89,73,64,89,88,86,88,76,83,24,83,30,20
193.04,GK,1,15,13,55,30,11,59,46,54,51,25,43,16,30,70,17,10
185.42,ST,3,70,89,78,80,76,52,82,75,77,87,92,79,48,77,52,45
187.96,"CDM,CM",3,62,67,89,80,68,82,88,50,66,61,86,54,87,87,90,86
198.12,GK,1,14,14,33,13,20,35,23,46,61,36,38,17,15,44,20,18
187.96,GK,1,18,14,42,17,12,47,18,38,37,22,35,10,22,70,25,13
175.26,"CF,ST",4,82,89,84,87,84,78,90,88,90,82,86,82,49,85,59,54
175.26,"RW,ST",4,78,90,83,89,60,74,88,94,91,80,84,83,55,84,38,43
152.4,"CAM,RW",4,82,84,87,92,88,75,92,87,91,82,80,88,32,87,23,20
187.96,CB,2,40,42,73,59,30,69,67,70,48,50,77,30,86,57,92,89
152.4,CDM,3,68,69,85,77,72,83,82,68,72,83,84,78,89,75,87,86
185.42,ST,3,68,91,74,83,62,59,84,70,75,86,70,80,20,74,35,22
182.88,"CM,CDM",3,84,79,87,82,82,90,85,66,73,84,83,87,81,86,76,75
187.96,CB,3,72,56,79,71,73,74,77,61,61,80,75,66,89,68,89,87
170.18,"CF,ST",4,77,86,82,91,79,74,89,93,94,80,75,81,36,83,25,40
175.26,LB,5,90,73,84,90,67,78,92,83,86,83,89,70,83,82,71,82
185.42,CB,2,64,45,79,62,69,85,75,61,60,78,76,65,87,67,90,91
170.18,LB,3,87,73,84,80,63,74,84,93,90,64,91,66,84,76,74,84
175.26,"CM,CAM,CDM",5,72,69,90,90,77,87,90,78,90,76,75,79,78,86,67,67
185.42,ST,3,55,90,74,83,51,49,83,78,77,86,80,80,40,65,34,33
185.42,GK,1,11,15,30,16,15,37,19,54,60,21,39,13,20,68,28,14
175.26,"CAM,CM,LW",4,75,79,86,94,76,81,95,75,87,69,70,85,64,86,60,64
154.94,"CAM,CM,RM",4,90,83,89,85,86,83,90,73,83,86,70,92,55,88,52,41
185.42,CDM,2,58,64,83,69,74,82,78,61,62,86,87,81,86,77,84,87
154.94,ST,3,46,91,73,77,45,54,81,77,76,84,69,70,22,64,45,24
185.42,GK,1,25,11,32,10,19,36,16,34,41,25,37,14,21,55,19,18
154.94,"CAM,RW",4,84,68,86,84,78,89,83,76,86,80,86,76,62,88,52,66
187.96,CDM,3,79,66,83,76,53,80,82,69,69,78,92,65,84,77,84,86
182.88,"LW,ST,LM",4,76,84,78,88,54,60,87,88,85,84,76,80,42,74,34,39
154.94,ST,3,69,87,77,83,56,55,84,93,81,78,83,70,37,61,39,20
195.58,CB,2,30,20,78,42,30,63,63,52,33,77,65,62,82,30,83,85
152.4,"CAM,CM",4,84,74,85,83,85,84,86,79,77,87,91,88,71,86,66,66
154.94,LB,3,89,65,83,82,79,86,82,84,73,80,92,75,80,74,80,81
185.42,CB,2,47,37,68,47,44,58,56,69,56,72,67,48,85,27,88,86
172.72,CAM,4,83,82,83,90,79,75,89,79,84,84,77,82,28,81,31,37
187.96,CB,2,36,40,77,63,27,67,73,72,60,66,76,44,82,49,84,85
182.88,"LW,RW",4,82,80,83,85,76,81,85,85,79,86,76,88,45,82,40,42
152.4,"RW,LW",4,81,78,79,91,64,70,83,94,90,83,76,76,36,84,42,30
